epoch,total,ssim_term,l1_term,pred_mean,snr_carotid,snr_muscle,snr_phantom,val_total,val_ssim_term,val_l1_term,val_pred_mean,val_snr_carotid,val_snr_muscle,val_snr_phantom,label_snr_carotid,label_snr_muscle,label_snr_phantom,epoch_seconds
1,0.768581607455299,0.8822317870457967,0.17191830554178783,0.4995947350774493,11.75259780883789,10.163334846496582,4.093841552734375,0.744589557117886,0.8677719646030002,0.09788207828998566,0.5128839498096042,2.958944797515869,8.343576431274414,3.8003487586975098,5.678549766540527,6.177582740783691,3.851808547973633,953.5531061569999
2,0.7377468005816141,0.8552335421244304,0.12094154396227427,0.5022161879993621,4.5732855796813965,4.485136985778809,2.2816965579986572,0.755693289703793,0.8682186158498129,0.16493548611799877,0.3674054780271318,1.4691287279129028,2.9377365112304688,2.3645594120025635,5.678549766540527,6.177582740783691,3.851808547973633,1246.8071561929999
3,0.7341452432814098,0.8520381925219581,0.11520740628242493,0.5105354180790129,14.553306579589844,17.8526611328125,4.210489749908447,0.7315401726298862,0.8530339050292969,0.09369819055000941,0.49115750537978276,3.653623104095459,7.045837879180908,5.030913352966309,5.678549766540527,6.177582740783691,3.851808547973633,938.3656045430002
4,0.732764123962039,0.8502757381257556,0.11582828680674236,0.5117510712146759,9.523041725158691,10.970857620239258,5.642502307891846,0.7392769596311781,0.8582343016730415,0.11475104964441724,0.5672035993470086,3.0843698978424072,6.932276248931885,7.100226402282715,5.678549766540527,6.177582740783691,3.851808547973633,928.9240523120002
5,0.730061979407356,0.8481240218026297,0.11023638590460731,0.5140087512561253,7.872730255126953,9.55906867980957,6.219025611877441,0.7440159442689683,0.8607254886627197,0.13129099978340997,0.5791811321179072,6.238063812255859,5.230862140655518,7.066020965576172,5.678549766540527,6.177582740783691,3.851808547973633,908.8683243700007
6,0.7270295862924485,0.8453280476161412,0.10596280310835157,0.5155395310833341,11.011115074157715,12.578686714172363,4.835207939147949,0.7395401395691765,0.8592507309383817,0.11105968296527863,0.5631902190049489,2.785672187805176,5.901278972625732,4.439826965332031,5.678549766540527,6.177582740783691,3.851808547973633,969.8051780680007
7,0.7253868594623747,0.84311722664606,0.1073025647799174,0.5149149523462568,7.797773838043213,9.807722091674805,5.297708988189697,0.7482490462727017,0.8663005397054884,0.12847884251011743,0.5439649279912313,1.9871267080307007,6.610202312469482,8.317916870117188,5.678549766540527,6.177582740783691,3.851808547973633,965.2897868220007
8,0.7214455393382481,0.8376653180803572,0.11129184712966284,0.5121116888523102,9.026201248168945,9.709186553955078,5.95051908493042,0.7537063219812181,0.8706015099419487,0.1400067522790697,0.39007063613997567,3.340864419937134,5.929537296295166,6.165256023406982,5.678549766540527,6.177582740783691,3.851808547973633,981.0049131950009
9,0.7112026219140916,0.8259656873203459,0.10869666306745439,0.5185098079272679,1.297879695892334,1.644877552986145,8.656188011169434,0.8262654858165317,0.9231511807441711,0.31761571248372394,0.43225877390967476,3.3375070095062256,7.189098358154297,8.413224220275879,5.678549766540527,6.177582740783691,3.851808547973633,998.9261267769998
10,0.6903908260663351,0.8023644932111105,0.10252920776605606,0.5175571731726328,6.1551361083984375,11.920574188232422,7.54042911529541,0.7485571315553453,0.8706936354107327,0.10734063122007582,0.5101848268508911,7.077658176422119,8.101027488708496,8.831277847290039,5.678549766540527,6.177582740783691,3.851808547973633,928.0630737449992
11,0.6619307735988073,0.7686324323926653,0.1017471888377553,0.5163369455791655,4.3105645179748535,6.6599650382995605,5.221903324127197,0.7827204881774055,0.8987651062011719,0.17348640309439764,0.46694017357296413,4.101551532745361,4.53553581237793,5.478472709655762,5.678549766540527,6.177582740783691,3.851808547973633,938.541642782
12,0.6283312310491289,0.7294937289328802,0.09722823995919455,0.5166052381765275,8.301931381225586,8.868241310119629,6.189530849456787,0.763953685230679,0.8885846183035109,0.10964144895474116,0.5602227375242446,5.534967422485352,6.912711143493652,6.778946876525879,5.678549766540527,6.177582740783691,3.851808547973633,926.3886702519994
13,0.5975759486925034,0.6933578982807341,0.09472083609728586,0.5173216542175838,8.100299835205078,7.958003997802734,6.593120574951172,0.7756258262528314,0.9022370280159844,0.11091713746388754,0.5587063842349582,5.341497898101807,7.116855144500732,6.3684539794921875,5.678549766540527,6.177582740783691,3.851808547973633,971.2178582899996
14,0.571484016634169,0.6625096382413591,0.09359961437327521,0.5181241681462242,6.618664741516113,7.576109409332275,5.686324119567871,0.7741026920742459,0.9011968970298767,0.10685826907555263,0.5153430219491323,5.160347938537598,6.072009086608887,6.247171878814697,5.678549766540527,6.177582740783691,3.851808547973633,945.4224973600012
15,0.5485113216581798,0.6354016888709295,0.09233699829805465,0.5170075419970921,6.442989826202393,7.293513298034668,5.003028392791748,0.773218650288052,0.901342039903005,0.10057101680172814,0.5087646600935194,4.595724105834961,5.878617286682129,5.619395732879639,5.678549766540527,6.177582740783691,3.851808547973633,974.1528469010009
